Threads,ExecutionTime
1,0.710118
2,0.26725
3,0.557368
4,0.513297
5,0.679729
6,0.465221
7,0.554681
8,0.825661
9,1.35211
10,0.673133
11,0.734516
12,0.647126
13,0.649677
14,0.549908
15,0.636076
16,0.349803
17,5.51e-07
18,5.41e-07
19,6.21e-07
20,5.41e-07
21,5.21e-07
22,6.01e-07
23,4.61e-07
24,8.12e-07
